symbol,period_end_date,close_price,intrinsic_value,bps,rnoa,MoS,nrShares,reason
EDUC:US,2008-08-29,1.3508,3.498955067920585,2.1226489028213167,0.1838732786754756,0.6139418844258623,7656000.0,Penman TTM as-of 2008-08-29: value=3.50 >= close=1.35 * (1+MOS 70%)
AP:US,2008-09-30,20.508,54.011493123772105,21.09312377210216,0.39545065815575325,0.620303035263178,10180000.0,Penman TTM as-of 2008-09-30: value=54.01 >= close=20.51 * (1+MOS 70%)
ARKR:US,2008-09-30,9.38206,24.211206896551722,11.258064516129032,0.30731023432805926,0.61249102367812,3596000.0,Penman TTM as-of 2008-09-30: value=24.21 >= close=9.38 * (1+MOS 70%)
CCO:US,2008-09-30,3.639,15.128893837908365,19.14723051745373,0.06858238920923983,0.7594668824443872,355626000.0,Penman TTM as-of 2008-09-30: value=15.13 >= close=3.64 * (1+MOS 70%)
CODI:US,2008-09-30,5.33856,10.354117494907692,18.012738853503183,0.04443873679568689,0.4844022194430783,30929000.0,Penman TTM as-of 2008-09-30: value=10.35 >= close=5.34 * (1+MOS 70%)
ESP:US,2008-09-30,9.0674,19.76583175803402,14.33695652173913,0.16869487217820298,0.541258869801193,2116000.0,Penman TTM as-of 2008-09-30: value=19.77 >= close=9.07 * (1+MOS 70%)
EVI:US,2008-09-30,0.7367,1.5228177423940858,0.9668751777082741,0.236468330134357,0.5162257573635812,7034000.0,Penman TTM as-of 2008-09-30: value=1.52 >= close=0.74 * (1+MOS 70%)
INFU:US,2008-09-30,2.35,4.515643290411833,4.177503458550602,0.11996544140747721,0.4795868830051727,18794000.0,Penman TTM as-of 2008-09-30: value=4.52 >= close=2.35 * (1+MOS 70%)
KTCC:US,2008-09-30,2.28,4.178515471993733,4.851351351351352,0.08768814506880734,0.45435166740877886,10212000.0,Penman TTM as-of 2008-09-30: value=4.18 >= close=2.28 * (1+MOS 70%)
MHH:US,2008-09-30,2.1938,3.970281658904413,1.0033266799733866,0.5238910012674272,0.44744474360406655,9018000.0,Penman TTM as-of 2008-09-30: value=3.97 >= close=2.19 * (1+MOS 70%)
MPAA:US,2008-09-30,6.04,10.978112118713932,7.987386644682605,0.14419477252377094,0.4498143273920602,12130000.0,Penman TTM as-of 2008-09-30: value=10.98 >= close=6.04 * (1+MOS 70%)
MPU:US,2008-09-30,2.5718,5.290574917323836,4.451157466293564,0.10744683852112637,0.5138902595295051,7862000.0,Penman TTM as-of 2008-09-30: value=5.29 >= close=2.57 * (1+MOS 70%)
RCMT:US,2008-09-30,0.7984,1.7796636930607102,7.5047761901002605,0.010108459869848156,0.5513759127001733,12667000.0,Penman TTM as-of 2008-09-30: value=1.78 >= close=0.80 * (1+MOS 70%)
SILC:US,2008-09-30,4.385,8.39850014850015,6.464062964062964,0.18903660161990363,0.47788296452157625,6734000.0,Penman TTM as-of 2008-09-30: value=8.40 >= close=4.38 * (1+MOS 70%)
WILC:US,2008-09-30,2.52321,4.467812621737437,5.528243085313596,0.060485202591134254,0.4352471301675186,10268000.0,Penman TTM as-of 2008-09-30: value=4.47 >= close=2.52 * (1+MOS 70%)
WLFC:US,2008-09-30,11.17,36.138003882608196,22.450610939819573,0.11785683159510779,0.6909071116300454,8757000.0,Penman TTM as-of 2008-09-30: value=36.14 >= close=11.17 * (1+MOS 70%)
CATO:US,2008-10-31,7.024,12.884995708154506,8.993751072961373,0.17924158255926556,0.45486982230388073,29125000.0,Penman TTM as-of 2008-10-31: value=12.88 >= close=7.02 * (1+MOS 70%)
KEQU:US,2008-10-31,6.8835,16.461553473848557,11.727556596409055,0.1384318012579812,0.5818438392867729,2562000.0,Penman TTM as-of 2008-10-31: value=16.46 >= close=6.88 * (1+MOS 70%)
MIND:US,2008-10-31,54.6,128.0971540726202,76.38665358194308,0.19300843718007554,0.5737610222858938,1019000.0,Penman TTM as-of 2008-10-31: value=128.10 >= close=54.60 * (1+MOS 70%)
AEHR:US,2008-11-28,2.19,7.7765478868237246,4.829170119569078,0.24310389423767784,0.7183840398243224,8447000.0,Penman TTM as-of 2008-11-28: value=7.78 >= close=2.19 * (1+MOS 70%)
EDUC:US,2008-11-28,0.9571,3.0240711669283096,2.2114076399790688,0.14319287998887498,0.6835061256272711,7644000.0,Penman TTM as-of 2008-11-28: value=3.02 >= close=0.96 * (1+MOS 70%)
ACNT:US,2008-12-31,4.1691,8.700463777386856,10.053894130817207,0.08794856459330143,0.5208186475259173,6253000.0,Penman TTM as-of 2008-12-31: value=8.70 >= close=4.17 * (1+MOS 70%)
AMS:US,2008-12-31,1.05,2.5909649661954517,4.699446834665028,0.07760258544706689,0.5947455817815206,4881000.0,Penman TTM as-of 2008-12-31: value=2.59 >= close=1.05 * (1+MOS 70%)
ARKR:US,2008-12-31,6.69003,19.145791726105564,11.184308131241083,0.1917354285150728,0.6505743875361368,3505000.0,Penman TTM as-of 2008-12-31: value=19.15 >= close=6.69 * (1+MOS 70%)
AWRE:US,2008-12-31,1.0163,1.9872922776148585,2.3172680521909133,0.03618804964247555,0.4886006394490901,23529000.0,Penman TTM as-of 2008-12-31: value=1.99 >= close=1.02 * (1+MOS 70%)
BRN:US,2008-12-31,4.42658,11.376670644391407,6.753579952267303,0.15829164252988573,0.6109072558778641,8380000.000000001,Penman TTM as-of 2008-12-31: value=11.38 >= close=4.43 * (1+MOS 70%)
CLW:US,2008-12-31,4.195,11.931767140781188,7.969923818750275,0.18222512646398917,0.6484175436459827,22709000.0,Penman TTM as-of 2008-12-31: value=11.93 >= close=4.20 * (1+MOS 70%)
CMT:US,2008-12-31,2.5717,8.64264727486411,4.256647568679301,0.18660169110501965,0.7024407084760456,6807000.0,Penman TTM as-of 2008-12-31: value=8.64 >= close=2.57 * (1+MOS 70%)
DAIO:US,2008-12-31,2.4,4.1830512274408695,2.336060979710795,0.27980139676996946,0.4262561299139802,8921000.0,Penman TTM as-of 2008-12-31: value=4.18 >= close=2.40 * (1+MOS 70%)
